[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [ ] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [ ] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [ ] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
[D] | [X] | help Kris do cs3132 
[T] | [X] | buy bread
[D] | [ ] | help Kris do cs2103 
[E] | [ ] | help Kris do cn4122 
